 i, 2^i, T(2^i), i*2^i, c_i 
 1, 2, 15, 2, 7.500000 
 2, 4, 10, 8, 1.250000 
 3, 8, 11, 24, 0.458333 
 4, 16, 14, 64, 0.218750 
 5, 32, 19, 160, 0.118750 
 6, 64, 36, 384, 0.093750 
 7, 128, 60, 896, 0.066964 
 8, 256, 133, 2048, 0.064941 
 9, 512, 311, 4608, 0.067491 
 10, 1024, 511, 10240, 0.049902 
 11, 2048, 1118, 22528, 0.049627 
 12, 4096, 2491, 49152, 0.050680 
 13, 8192, 5903, 106496, 0.055429 
 14, 16384, 12409, 229376, 0.054099 
 15, 32768, 26411, 491520, 0.053733 
 16, 65536, 58557, 1048576, 0.055844 
 17, 131072, 99169, 2228224, 0.044506 

The Expected Value of c_i's is 0.060093 ms
The Variance of c_i's is 0.000394 ms^2
